Seg.,sonant,syllabique,consonantique,continu,nasal,haut,bas,arrière,arrondi,antérieur,coronal,voisé,rel.ret.
Seg.,son,syl,cons,cont,nas,haut,bas,arr,rond,ant,cor,vois,rel.ret.
p,0,0,1,0,0,0,-1,0,-1,1,0,0,0
b,0,0,1,0,0,0,-1,0,-1,1,0,1,0
t,0,0,1,0,0,0,-1,0,-1,1,1,0,0
d,0,0,1,0,0,0,-1,0,-1,1,1,1,0
k,0,0,1,0,0,1,-1,1,-1,0,0,0,0
g,0,0,1,0,0,1,-1,1,-1,0,0,1,0
f,0,0,1,1,0,0,-1,0,-1,1,0,0,1
v,0,0,1,1,0,0,-1,0,-1,1,0,1,1
s,0,0,1,1,0,0,-1,0,-1,1,1,0,1
z,0,0,1,1,0,0,-1,0,-1,1,1,1,1
ʃ,0,0,1,1,0,1,-1,0,-1,0,1,0,1
ʒ,0,0,1,1,0,1,-1,0,-1,0,1,1,1
m,1,0,1,1,1,0,-1,0,-1,1,0,1,0
n,1,0,1,1,1,0,-1,0,-1,1,1,1,0
ɲ,1,0,1,1,1,1,-1,0,-1,0,0,1,0
ŋ,1,0,1,1,1,1,-1,1,-1,0,0,1,0
ʁ,1,0,1,1,0,0,-1,1,-1,0,0,1,1
l,1,0,1,1,0,0,-1,0,-1,1,1,1,1
j,1,0,0,1,0,1,0,0,0,0,0,1,1
w,1,0,0,1,0,1,0,1,1,0,0,1,1
ɥ,1,0,0,1,0,1,0,0,1,0,0,1,1
i,1,1,0,1,0,1,0,0,0,-1,-1,1,1
y,1,1,0,1,0,1,0,0,1,-1,-1,1,1
u,1,1,0,1,0,1,0,1,1,-1,-1,1,1
E,1,1,0,1,0,0,-1,0,0,-1,-1,1,1
e,1,1,0,1,0,0,-1,0,0,-1,-1,1,1
ɛ,1,1,0,1,0,0,-1,0,0,-1,-1,1,1
Ø,1,1,0,1,0,0,-1,0,1,-1,-1,1,1
ə,1,1,0,1,0,0,-1,0,1,-1,-1,1,1
ø,1,1,0,1,0,0,-1,0,1,-1,-1,1,1
œ,1,1,0,1,0,0,-1,0,1,-1,-1,1,1
O,1,1,0,1,0,0,-1,1,1,-1,-1,1,1
o,1,1,0,1,0,0,-1,1,1,-1,-1,1,1
ɔ,1,1,0,1,0,0,-1,1,1,-1,-1,1,1
a,1,1,0,1,0,0,1,1,0,-1,-1,1,1
ɛ̃,1,1,0,1,1,0,1,0,0,-1,-1,1,1
œ̃,1,1,0,1,1,0,1,0,1,-1,-1,1,1
ɑ̃,1,1,0,1,1,0,1,1,0,-1,-1,1,1
ɔ̃,1,1,0,1,1,0,1,1,1,-1,-1,1,1
#C#,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#V#,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1
#G#,1,0,0,1,0,1,0,-1,-1,0,0,1,1
