# Recommended confusable mapping for IDN
# File: confusables.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
ͮ;̆
ͦ;̊
ǃ;!
ʔ;?
Ɂ;?
ꞏ;·
ᑺ;·d
ᒘ;·J
ᒶ;·L
ᑶ;·P
ᑗ;·U
ᐺ;·V
ᐼ;·Ʌ
ꞌ;'
Ɓ;'B
Ɗ;'D
ŉ;'n
Ƥ;'P
Ƭ;'T
Ƴ;'Y
⒇;(2O)
⒜;(a)
🄐;(A)
⒝;(b)
🄑;(B)
⒞;(c)
🄒;(C)
⒟;(d)
🄓;(D)
⒠;(e)
🄔;(E)
⒡;(f)
🄕;(F)
⒢;(g)
🄖;(G)
⒣;(h)
🄗;(H)
⒤;(i)
⒥;(j)
🄙;(J)
⒦;(k)
🄚;(K)
⑴;(l)
🄘;(l)
⒧;(l)
🄛;(L)
⑿;(l2)
⒀;(l3)
⒁;(l4)
⒂;(l5)
⒃;(l6)
⒄;(l7)
⒅;(l8)
⒆;(l9)
⑾;(ll)
⑽;(lO)
🄜;(M)
⒩;(n)
🄝;(N)
⒪;(o)
🄞;(O)
⒫;(p)
🄟;(P)
⒬;(q)
🄠;(Q)
⒭;(r)
🄡;(R)
⒨;(rn)
⒮;(s)
🄢;(S)
🄪;(S)
⒯;(t)
🄣;(T)
⒰;(u)
🄤;(U)
⒱;(v)
🄥;(V)
⒲;(vv)
🄦;(W)
⒳;(x)
🄧;(X)
⒴;(y)
🄨;(Y)
⒵;(z)
🄩;(Z)
ꝸ;&
ъ;ˉb
℃;°C
℉;°F
Ⓒ;©
Ⓡ;®
Ⓟ;℗
ð;∂̵
≞;=ͫ
Ö;⍥
Ő;⍥
ꟷ;ー
Ꝛ;2
Ƨ;2
ƻ;2̵
㏴;2l日
㍭;2l点
⒛;2O.
㏳;2O日
㍬;2O点
Ɜ;3
Ȝ;3
Ʒ;3
Ꝫ;3
㏾;3l日
㏽;3O日
Ƽ;5
ȣ;8
Ȣ;8
Ꝯ;9
⍺;a
ａ;a
𝐚;a
𝑎;a
𝒂;a
𝒶;a
𝓪;a
𝔞;a
𝕒;a
𝖆;a
𝖺;a
𝗮;a
𝘢;a
𝙖;a
𝚊;a
ɑ;a
α;a
𝛂;a
𝛼;a
𝜶;a
𝝰;a
𝞪;a
а;a
Ａ;A
𝐀;A
𝐴;A
𝑨;A
𝒜;A
𝓐;A
𝔄;A
𝔸;A
𝕬;A
𝖠;A
𝗔;A
𝘈;A
𝘼;A
𝙰;A
ᴀ;A
Α;A
𝚨;A
𝛢;A
𝜜;A
𝝖;A
𝞐;A
А;A
Ꭺ;A
ᗅ;A
ꓮ;A
𐊠;A
⍶;a̲
ǎ;ă
Ǎ;Ă
ȧ;å
Ȧ;Å
ẚ;ả
℀;a/c
℁;a/s
ꜳ;aa
Ꜳ;AA
æ;ae
ӕ;ae
Æ;AE
Ӕ;AE
ꜵ;ao
Ꜵ;AO
🜇;AR
ꜷ;au
